Código Município Completo,Município,Nome_Município,latitude,longitude,altitude,Microrregião Geográfica,UF,Mesorregião Geográfica
1503093,3093,Goianésia do Pará,-3.8424680000000002,-49.101044923742606,82.583803000000003,17,15,6
1503101,3101,Gurupá,-1.4049179999999999,-51.643695723394103,16.392510999999999,4,15,2
1503200,3200,Igarapé-Açu,-1.1517793718592,-47.510337764197196,54.679718000000001,10,15,4
1503309,3309,Igarapé-Miri,-1.9831159999999999,-48.962299468946597,9.2831060000000001,11,15,4
1503408,3408,Inhangapi,-1.42658198091031,-47.913392746588499,3.9284140000000001,8,15,3
1503457,3457,Ipixuna do Pará,-2.5575285000000001,-47.499717588798305,46.116508000000003,13,15,4
1503507,3507,Irituia,-1.7714749950000002,-47.440755612848299,17.251349000000001,13,15,4
1503606,3606,Itaituba,-4.2637294800000003,-55.990048857277699,25.058629,14,15,5
1503705,3705,Itupiranga,-5.1288370263609107,-49.324425861286102,88.561740999999998,16,15,6
1503754,3754,Jacareacanga,-6.2235517313864497,-57.766339858379403,91.910223000000002,14,15,5
1503804,3804,Jacundá,-4.4484054750000004,-49.112781562567505,117.087267,16,15,6
1503903,3903,Juruti,-2.1552529950000001,-56.094997688400099,25.611357000000002,1,15,1
1504000,4000,Limoeiro do Ajuru,-1.8919485,-49.381533901201898,7.6679060000000003,11,15,4
1504059,4059,Mãe do Rio,-2.0477074407907598,-47.552290179477303,41.375185000000002,13,15,4
1504109,4109,Magalhães Barata,-0.744114158894286,-47.675956821922199,16.100771000000002,9,15,4
1504208,4208,Marabá,-5.3526057631302493,-49.1420253334067,83.617783000000003,20,15,6
1504307,4307,Maracanã,-0.59062041496268403,-47.587501742058599,10.503634,9,15,4
1504406,4406,Marapanim,-0.71215099634781898,-47.702548753767701,10.012599,9,15,4
1504422,4422,Marituba,-1.3464172655758,-48.340535877782997,14.164564,7,15,3
1504455,4455,Medicilândia,-3.4454174121868797,-52.8883453507243,128.521265,15,15,5
1504505,4505,Melgaço,-1.803446698641,-50.7174646976964,8.8997089999999996,4,15,2
1504604,4604,Mocajuba,-2.5828729732715296,-49.509023461272896,14.514668,11,15,4
1504703,4703,Moju,-2.5150435745878199,-49.037934953380294,17.883151999999999,12,15,4
1504752,4752,Mojuí dos Campos,-2.5150435745878199,-49.037934953380294,17.883151999999999,2,15,1
1504802,4802,Monte Alegre,-2.0033280000000002,-54.073374725636,67.366476000000006,2,15,1
1504901,4901,Muaná,-1.5300262083549001,-49.216832442473695,6.2056259999999996,6,15,2
1504950,4950,Nova Esperança do Piriá,-2.2676259890312997,-46.962092883673598,72.106753999999995,13,15,4
1504976,4976,Nova Ipixuna,-4.9230863070264901,-49.079886938016401,112.806927,16,15,6
1505007,5007,Nova Timboteua,-1.2041436474668701,-47.393202276459895,47.717252999999999,10,15,4
1505031,5031,Novo Progresso,-7.03483591328812,-55.419870117978405,224.20544200000001,14,15,5
1505064,5064,Novo Repartimento,-4.2481485000000001,-49.948638244342604,95.016846999999999,16,15,6
1505106,5106,Óbidos,-1.9177934817131899,-55.183850566876593,16.860410000000002,1,15,1
1505205,5205,Oeiras do Pará,-2.004734,-49.855106108773498,7.0812949999999999,11,15,4
1505304,5304,Oriximiná,-1.7637535,-55.862799515235899,43.484541,1,15,1
1505403,5403,Ourém,-1.5489471423024401,-47.1176193628501,15.406257999999999,13,15,4
1505437,5437,Ourilândia do Norte,-6.7406170863773607,-51.090832774681601,322.442251,18,15,6
1505486,5486,Pacajá,-3.8303057037573001,-50.634840830429802,71,15,15,5
1505494,5494,Palestina do Pará,-5.7499341062260498,-48.321793726163705,123.148483,20,15,6
1505502,5502,Paragominas,-2.9941905000000002,-47.356961561051897,88.343788000000004,17,15,6
1505536,5536,Parauapebas,-6.0727298876318407,-49.900780634297,155.33866900000001,19,15,6
1505551,5551,Pau D'Arco,-7.8367944039735695,-50.048275531899804,191.07986399999999,21,15,6
1505601,5601,Peixe-Boi,-1.1895692407565399,-47.3179270215591,24.528517999999998,10,15,4
1505635,5635,Piçarra,-6.4536762345579195,-48.868400667218701,191.92726400000001,21,15,6
1505650,5650,Placas,-3.8673155621353601,-54.216968131265403,107.33762299999999,2,15,1
1505700,5700,Ponta de Pedras,-1.3965999975234999,-48.8717855600433,4.1995930000000001,6,15,2
1505809,5809,Portel,-1.9364509999999999,-50.822490442211006,10.988676,4,15,2
1505908,5908,Porto de Moz,-1.74609008880885,-52.242476919020099,12.672152000000001,3,15,1
1506005,6005,Prainha,-2.4586391562136898,-54.093419371060705,1,2,15,1
1506104,6104,Primavera,-0.94011151593057396,-47.117251258912603,19.890609000000001,10,15,4
1506112,6112,Quatipuru,-0.90011585373932501,-47.006786993576,13.512052000000001,10,15,4
1506138,6138,Redenção,-8.0276045000000007,-50.029641825509302,223.681568,21,15,6
1506161,6161,Rio Maria,-7.3111152446881498,-50.046410877522398,199.645647,21,15,6
1506187,6187,Rondon do Pará,-4.7778217270355503,-48.069973749398201,192.54207600000001,17,15,6
