Código de Distrito Completo,Distrito,Nome_Distrito,latitude,longitude,altitude,Código Município Completo
150400005,05,Limoeiro do Ajuru,,,,1504000
150405905,05,Mãe do Rio,,,,1504059
150410905,05,Magalhães Barata,,,,1504109
150410910,10,Cafezal,,,,1504109
150420805,05,Marabá,,,,1504208
150430705,05,Maracanã,,,,1504307
150430715,15,Boa Esperança,,,,1504307
150430740,40,São Roberto,,,,1504307
150440605,05,Marapanim,,,,1504406
150440610,10,Marudá,,,,1504406
150440615,15,Matapiquara,,,,1504406
150440620,20,Monte Alegre do Maú,,,,1504406
150440622,22,Praia de Marudá,,,,1504406
150442205,05,Marituba,,,,1504422
150445505,05,Medicilândia,,,,1504455
150445535,35,União da Floresta,,,,1504455
150450505,05,Melgaço,,,,1504505
150450510,10,Areias,,,,1504505
150460405,05,Mocajuba,,,,1504604
150460415,15,São Pedro de Viseu,,,,1504604
150470305,05,Moju,,,,1504703
150470310,10,Cairari,,,,1504703
150475205,05,Mojuí dos Campos,,,,1504752
150480205,05,Monte Alegre,,,,1504802
150490105,05,Muaná,,,,1504901
150490110,10,São Francisco da Jararaca,,,,1504901
150490115,15,São Miguel do Pracuúba,,,,1504901
150495005,05,Nova Esperança do Piriá,,,,1504950
150497605,05,Nova Ipixuna,,,,1504976
150500705,05,Nova Timboteua,,,,1505007
150500710,10,Timboteua,,,,1505007
150503105,05,Novo Progresso,,,,1505031
150506405,05,Novo Repartimento,,,,1505064
150506410,10,Belo Monte do Pará,,,,1505064
150506420,20,Maracajá,,,,1505064
150506440,40,Vitória da Conquista,,,,1505064
150510605,05,Óbidos,,,,1505106
150520505,05,Oeiras do Pará,,,,1505205
150530405,05,Oriximiná,,,,1505304
150540305,05,Ourém,,,,1505403
150543705,05,Ourilândia do Norte,,,,1505437
150548605,05,Pacajá,,,,1505486
150549405,05,Palestina do Pará,,,,1505494
150550205,05,Paragominas,,,,1505502
150553605,05,Parauapebas,,,,1505536
150555105,05,Pau D'Arco,,,,1505551
150560105,05,Peixe-Boi,,,,1505601
150560110,10,Tauarizinho,,,,1505601
150563505,05,Piçarra,,,,1505635
150565005,05,Placas,,,,1505650
150570005,05,Ponta de Pedras,,,,1505700
150580905,05,Portel,,,,1505809
150590805,05,Porto de Moz,,,,1505908
150590810,10,Veiros,,,,1505908
150590815,15,Vilarinho do Monte,,,,1505908
150600505,05,Prainha,,,,1506005
150600510,10,Pacoval,,,,1506005
150610405,05,Primavera,,,,1506104
150611205,05,Quatipuru,,,,1506112
150611210,10,Boa Vista,,,,1506112
150613805,05,Redenção,,,,1506138
150616105,05,Rio Maria,,,,1506161
150618705,05,Rondon do Pará,,,,1506187
150619505,05,Rurópolis,,,,1506195
150619515,15,Divinópolis,,,,1506195
150620305,05,Salinópolis,,,,1506203
150630205,05,Salvaterra,,,,1506302
150630210,10,Condeixa,,,,1506302
150630215,15,Joanes,,,,1506302
150630220,20,Jubim,,,,1506302
150630225,25,Monsarás,,,,1506302
150635105,05,Santa Bárbara do Pará,,,,1506351
150640105,05,Santa Cruz do Arari,,,,1506401
150650005,05,Santa Izabel do Pará,,,,1506500
150650010,10,Americano,,,,1506500
150650015,15,Caraparu,,,,1506500
150655905,05,Santa Luzia do Pará,,,,1506559
150658305,05,Santa Maria das Barreiras,,,,1506583
150658310,10,Casa de Tábua,,,,1506583
150658315,15,Nova Esperança,,,,1506583
150660905,05,Santa Maria do Pará,,,,1506609
150670805,05,Santana do Araguaia,,,,1506708
150680705,05,Santarém,,,,1506807
150680710,10,Alter do Chão,,,,1506807
150680725,25,Boim,,,,1506807
150680730,30,Curuai,,,,1506807
150690605,05,Santarém Novo,,,,1506906
150700305,05,Santo Antônio do Tauá,,,,1507003
150700310,10,Espírito Santo do Tauá,,,,1507003
150700315,15,São Raimundo de Borralhos,,,,1507003
150710205,05,São Caetano de Odivelas,,,,1507102
150710210,10,Perseverança,,,,1507102
150715105,05,São Domingos do Araguaia,,,,1507151
150720105,05,São Domingos do Capim,,,,1507201
150730005,05,São Félix do Xingu,,,,1507300
150730020,20,Sudoeste,,,,1507300
150730025,25,Taboca,,,,1507300
150730030,30,Vila Ladeira Vermelha,,,,1507300
150730035,35,Vila Lindoeste,,,,1507300
150730040,40,Vila Nereu,,,,1507300
150740905,05,São Francisco do Pará,,,,1507409
150745805,05,São Geraldo do Araguaia,,,,1507458
150746605,05,São João da Ponta,,,,1507466
150747405,05,São João de Pirabas,,,,1507474
150747410,10,Japerica,,,,1507474
150750805,05,São João do Araguaia,,,,1507508
150750810,10,Apinagés,,,,1507508
150760705,05,São Miguel do Guamá,,,,1507607
150760710,10,Caju,,,,1507607
150760715,15,Urucuri,,,,1507607
150760720,20,Urucuriteua,,,,1507607
150770605,05,São Sebastião da Boa Vista,,,,1507706
150775505,05,Sapucaia,,,,1507755
150780505,05,Senador José Porfírio,,,,1507805
150790405,05,Soure,,,,1507904
150795305,05,Tailândia,,,,1507953
150796105,05,Terra Alta,,,,1507961
150797905,05,Terra Santa,,,,1507979
150800105,05,Tomé-Açu,,,,1508001
150803505,05,Tracuateua,,,,1508035
150805005,05,Trairão,,,,1508050
150808405,05,Tucumã,,,,1508084
150810005,05,Tucuruí,,,,1508100
150812605,05,Ulianópolis,,,,1508126
150815905,05,Uruará,,,,1508159
150815910,10,Alvorada,,,,1508159
150820905,05,Vigia,,,,1508209
150820915,15,Porto Salvo,,,,1508209
150830805,05,Viseu,,,,1508308
150830815,15,Fernandes Belo,,,,1508308
150830820,20,São José do Gurupi,,,,1508308
150830825,25,São José do Piriá,,,,1508308
150835705,05,Vitória do Xingu,,,,1508357
150840705,05,Xinguara,,,,1508407
160010505,05,Amapá,,,,1600105
160010515,15,Sucuriju,,,,1600105
160020405,05,Calçoene,,,,1600204
160020410,10,Cunani,,,,1600204
160020415,15,Lourenço,,,,1600204
160021205,05,Cutias,,,,1600212
160023805,05,Ferreira Gomes,,,,1600238
160025305,05,Itaubal,,,,1600253
160027905,05,Laranjal do Jari,,,,1600279
160030305,05,Macapá,,,,1600303
160030310,10,Bailique,,,,1600303
160030311,11,Carapanantuba,,,,1600303
160030312,12,Fazendinha,,,,1600303
160030324,24,São Joaquim do Pacuí,,,,1600303
160040205,05,Mazagão,,,,1600402
160040208,08,Carvão,,,,1600402
160040215,15,Mazagão Velho,,,,1600402
160050105,05,Oiapoque,,,,1600501
160050110,10,Clevelândia do Norte,,,,1600501
160050115,15,Vila Velha,,,,1600501
160050120,20,Vila Brasil,,,,1600501
160015405,05,Pedra Branca do Amapari,,,,1600154
160053505,05,Porto Grande,,,,1600535
160055005,05,Pracuúba,,,,1600550
160060005,05,Santana,,,,1600600
160060007,07,Anauerapucu,,,,1600600
160060010,10,Igarapé do Lago,,,,1600600
